command_received_timestamp,vehicle_code,command,mavlink_sent_timestamp,execution_result,execution_message,command_response_timestamp,duration_ms
2026-04-11T03:26:19.145,USV-001,DISARM,2026-04-11T03:26:19.155,SUCCESS,DISARM successful,2026-04-11T03:26:19.181,36
2026-04-11T03:26:26.287,USV-001,ARM,2026-04-11T03:26:26.290,SUCCESS,ARM successful,2026-04-11T03:26:26.339,52
2026-04-11T03:26:30.836,USV-001,DISARM,2026-04-11T03:26:30.839,SUCCESS,DISARM successful,2026-04-11T03:26:30.859,23
2026-04-11T03:26:40.336,USV-001,AUTO,2026-04-11T03:26:40.339,SUCCESS,Mode changed to AUTO,2026-04-11T03:26:40.345,9
2026-04-11T03:27:17.902,USV-001,DISARM,2026-04-11T03:27:17.906,SUCCESS,DISARM successful,2026-04-11T03:27:17.933,31
2026-04-11T03:27:21.411,USV-001,ARM,2026-04-11T03:27:21.415,FAILED,ARM failed: code 4,2026-04-11T03:27:21.432,21
2026-04-11T05:20:09.151,USV-001,ARM,2026-04-11T05:20:09.161,SUCCESS,ARM successful,2026-04-11T05:20:09.206,55
2026-04-11T05:20:34.122,USV-001,AUTO,2026-04-11T05:20:34.131,SUCCESS,Mode changed to AUTO,2026-04-11T05:20:34.145,23
2026-04-11T05:55:52.394,USV-001,DISARM,2026-04-11T05:55:52.403,SUCCESS,DISARM successful,2026-04-11T05:55:52.427,33
2026-04-11T05:55:56.104,USV-001,ARM,2026-04-11T05:55:56.113,SUCCESS,ARM successful,2026-04-11T05:55:56.146,42
2026-04-11T05:56:00.325,USV-001,DISARM,2026-04-11T05:56:00.334,SUCCESS,DISARM successful,2026-04-11T05:56:00.369,44
2026-04-11T08:39:48.406,USV-001,ARM,2026-04-11T08:39:48.412,SUCCESS,ARM successful,2026-04-11T08:39:48.442,36
2026-04-11T08:39:52.163,USV-001,DISARM,2026-04-11T08:39:52.177,SUCCESS,DISARM successful,2026-04-11T08:39:52.205,42
2026-04-11T10:55:48.397,USV-001,ARM,2026-04-11T10:55:48.407,SUCCESS,ARM successful,2026-04-11T10:55:48.471,74
2026-04-11T10:55:51.798,USV-001,DISARM,2026-04-11T10:55:51.807,SUCCESS,DISARM successful,2026-04-11T10:55:51.831,33
2026-04-11T13:18:03.360,USV-001,DISARM,2026-04-11T13:18:03.385,SUCCESS,DISARM successful,2026-04-11T13:18:03.569,209
2026-04-11T14:38:31.880,USV-001,ARM,2026-04-11T14:38:31.890,SUCCESS,ARM successful,2026-04-11T14:38:31.943,63
