date_time,vehicle_code,sensor_code,sensor,latitude,longitude,altitude,gps_ok,depth_m,pressure_m,temperature_c,conductivity_ms_cm,salinity_psu,density_kg_m3,sound_velocity_ms,mqtt_publish_timestamp
2026-04-24T05:17:59.814515+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1925437,106.826958,0.0,False,10.15,10.35,31.79,53.12,33.19,1017.98,1548.18,2026-04-24T05:17:59.814
2026-04-24T05:18:00.814478+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1909955,106.8255713,0.0,False,7.13,7.28,30.25,52.9,32.07,1017.49,1544.76,2026-04-24T05:18:00.814
2026-04-24T05:18:01.814641+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1896303,106.8242083,24.8,False,2.19,2.24,29.69,51.84,31.84,1016.55,1540.81,2026-04-24T05:18:01.815
2026-04-24T05:18:02.814450+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8930792,107.5666535,25.01,True,0.5,0.51,30.42,52.13,31.66,1015.47,1541.35,2026-04-24T05:18:02.814
2026-04-24T05:18:03.814423+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8930785,107.566633,24.79,True,0.5,0.51,29.2,52.58,31.34,1015.67,1540.9,2026-04-24T05:18:03.814
2026-04-24T05:18:04.814568+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8930847,107.5666325,24.78,True,0.5,0.51,28.63,51.81,31.46,1016.84,1540.44,2026-04-24T05:18:04.815
2026-04-24T05:18:05.814590+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8931125,107.5667189,24.75,True,0.5,0.51,27.96,51.13,30.55,1016.84,1535.46,2026-04-24T05:18:05.815
2026-04-24T05:18:06.814571+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8931096,107.5666845,24.88,True,15.51,15.82,26.04,51.95,31.49,1017.53,1531.79,2026-04-24T05:18:06.815
2026-04-24T05:18:07.814464+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8931106,107.5666717,24.59,True,13.62,13.9,29.1,52.56,32.71,1016.88,1542.52,2026-04-24T05:18:07.814
2026-04-24T05:18:08.814478+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8931062,107.5666507,24.75,True,4.98,5.08,32.66,52.43,32.5,1015.67,1549.84,2026-04-24T05:18:08.814
2026-04-24T05:18:09.814454+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8931015,107.566631,24.75,True,3.12,3.18,30.98,52.9,32.62,1016.81,1544.0,2026-04-24T05:18:09.814
2026-04-24T05:18:10.814543+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8931051,107.5665935,24.83,True,4.43,4.52,29.3,52.72,32.2,1017.72,1539.85,2026-04-24T05:18:10.814
2026-04-24T05:18:11.814540+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8930986,107.5665835,24.6,True,8.09,8.25,28.81,51.53,31.47,1017.28,1540.65,2026-04-24T05:18:11.814
2026-04-24T05:18:12.814468+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8930992,107.5665697,24.88,True,10.86,11.08,27.59,51.85,32.18,1017.2,1538.78,2026-04-24T05:18:12.814
2026-04-24T05:18:13.814899+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.8931004,107.5665753,24.86,True,26.42,26.95,26.84,52.55,32.74,1017.11,1535.34,2026-04-24T05:18:13.815
